date,tokenId,from,to,price
Sun Aug 06 2023 23:40:11 GMT+0900 (GMT+09:00),4342,0x1824a6f56777485fac2ccffb8d4417dbf1198884,0x92715cd1ebe59a5fb550aadf453cc47ba1369d25,0.015
Wed Jul 26 2023 19:29:47 GMT+0900 (GMT+09:00),3472,0xd1409d02c1c156772f858c261c9f306ce3e481c9,0x730f8d8bacc94dd7457c967ddb9c36117b7399e0,0.013
Mon Jul 24 2023 20:45:23 GMT+0900 (GMT+09:00),1183,0x4ed3ac9f97996354beea2ec8f5131ed468339769,0xfe4be01da4fbfd47650eb2c7bd37d09607d1337f,0.0115
Sun Jul 23 2023 10:23:23 GMT+0900 (GMT+09:00),4743,0x5ed0cb5f507cf82f5a1b84e715b040fa361c433b,0x03eeba1287dbbc6e5a10e3c916976a27ad00fe29,0.019
Thu Jul 20 2023 11:43:23 GMT+0900 (GMT+09:00),3192,0x63986ea6e5a4034e83fbe01d31ab31f989dc36a5,0x03eeba1287dbbc6e5a10e3c916976a27ad00fe29,0.02
Wed Jul 19 2023 07:33:35 GMT+0900 (GMT+09:00),2527,0x77ad5b76effbccda6e23c9182a3d9822aa8fda87,0x001ea74d2f1854be72b0bbbc40399872d9a5bf54,0.012
Tue Jul 18 2023 05:31:59 GMT+0900 (GMT+09:00),4297,0xfb41fcbc27b8878f2afd0c40c2e2f50074342580,0x03eeba1287dbbc6e5a10e3c916976a27ad00fe29,0.025
Mon Jul 17 2023 06:21:23 GMT+0900 (GMT+09:00),1280,0x77ab24ea6b17934ebe6f037a0554bc2b140c8ee5,0x03eeba1287dbbc6e5a10e3c916976a27ad00fe29,0.02
Sat Jul 15 2023 21:20:23 GMT+0900 (GMT+09:00),4295,0xfb41fcbc27b8878f2afd0c40c2e2f50074342580,0x307487fc175c894f2186778ce52d9b6e5d6ad9c9,0.018
Sat Jul 15 2023 12:21:59 GMT+0900 (GMT+09:00),4409,0xde803f104634c08757f62f2d194c7851d3cb8d21,0x03eeba1287dbbc6e5a10e3c916976a27ad00fe29,0.0135
Fri Jul 14 2023 11:03:59 GMT+0900 (GMT+09:00),5844,0x3342e89ec9e8560c2892c331909da2fe56f20f59,0x03eeba1287dbbc6e5a10e3c916976a27ad00fe29,0.012
Thu Jul 13 2023 11:33:35 GMT+0900 (GMT+09:00),4410,0xde803f104634c08757f62f2d194c7851d3cb8d21,0x03eeba1287dbbc6e5a10e3c916976a27ad00fe29,0.0138
Wed Jul 12 2023 19:07:47 GMT+0900 (GMT+09:00),2251,0x4f0e7da99223ea377595b329be3ffc732f33df9f,0x01a42865173ba30985ebcb978ca11b5eb7bd9208,0.012
Wed Jul 12 2023 19:07:47 GMT+0900 (GMT+09:00),2250,0x4f0e7da99223ea377595b329be3ffc732f33df9f,0x01a42865173ba30985ebcb978ca11b5eb7bd9208,0.012
Wed Jul 12 2023 19:07:47 GMT+0900 (GMT+09:00),3660,0x17982d4224d781187617e01a4b7f4df7cbcf317b,0x01a42865173ba30985ebcb978ca11b5eb7bd9208,0.012
